"Scientific name","New","Common name","Clade","Taxon ID","Assembly name","Accession","Genome size (bps)","Annotation provider","Annotation","Genome","RNA Seq"
"Abrostola tripartita","","Moths","Lepidoptera","938171","ilAbrTrip1.1_alternate_haplotype","GCA_905340255.1","377,898,841","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Abrostola tripartita","","Moths","Lepidoptera","938171","ilAbrTrip1.1","GCA_905340225.1","381,042,155","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Accipiter gentilis","","Northern goshawk","Birds","8957","Agentilis_1.0","GCA_012487025.1","1,179,252,740","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Acipenser ruthenus","","Sterlet","Fish","7906","fAciRut3.1_paternal_haplotype","GCA_902713435.1","1,663,896,406","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Acomys cahirinus","","Egyptian spiny mouse","Mammals","10068","AcoCah_v1_BIUU","GCA_004027535.1","2,306,070,819","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Actinia equina","","Beadlet anemone (AE1)","Metazoa","6106","equina_smartden.arrow4.noredun","GCA_011057435.1","409,058,306","Liverpool John Moores University","FASTA/GTF/GFF3/TSV","FASTA",""
"Adalia bipunctata","NEW","Two-spotted ladybird beetle","Arthropods","7084","icAdaBipu1.1_alternate_haplotype","GCA_910591895.1","357,820,147","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Adalia bipunctata","NEW","Two-spotted ladybird beetle","Arthropods","7084","icAdaBipu1.1","GCA_910592335.1","475,267,023","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrilus planipennis","","Emerald ash borer (EAB-ADULT)","Arthropods","224129","Apla_2.0","GCA_000699045.2","353,072,773","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Ailuropoda melanoleuca","","Giant panda","Mammals","9646","ASM200744v2","GCA_002007445.2","2,444,060,653","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Alosa sapidissima","NEW","American shad","Fish","34773","fAloSap1.pri","GCA_018492685.1","903,564,947","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Alouatta palliata","","Mantled howler monkey","Mammals","30589","AloPal_v1_BIUU","GCA_004027835.1","3,033,617,595","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Amblyraja radiata","","Thorny skate","Chordates","386614","sAmbRad1.pri","GCA_010909765.1","2,558,784,953","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Ameiurus melas","","Black bullhead","Fish","219545","AMELA_1.0","GCA_012411365.1","868,496,679","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Amphipyra berbera","","Moths","Lepidoptera","987877","ilAmpBerb1.1_alternate_haplotype","GCA_910595045.1","579,408,172","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Amphipyra berbera","","Moths","Lepidoptera","987877","ilAmpBerb1.1","GCA_910594945.1","582,314,631","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Amphipyra tragopoginis","","Moths","Lepidoptera","689058","ilAmpTrag2.1","GCA_905220435.1","805,653,278","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Amphipyra tragopoginis","","Moths","Lepidoptera","689058","ilAmpTrag2.1_alternate_haplotype","GCA_905220425.1","806,994,927","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Anabas testudineus","","Climbing perch","Fish","64144","fAnaTes1.1","GCA_900324465.1","569,705,464","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Anabas testudineus","","Climbing perch","Fish","64144","fAnaTes1.2","GCA_900324465.2","555,641,398","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Anableps anableps","","Largescale foureyes","Fish","195821","fAnaAna1.pri","GCA_014839685.1","867,616,482","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
